{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.25}
{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.8625}
{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}
{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.9047}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}
{'neg': 0.387, 'neu': 0.613, 'pos': 0.0, 'compound': -0.743}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.22, 'neu': 0.621, 'pos': 0.158, 'compound': -0.2732}
{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.4939}
{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.8625}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.22, 'neu': 0.621, 'pos': 0.158, 'compound': -0.2732}
{'neg': 0.083, 'neu': 0.737, 'pos': 0.181, 'compound': 0.5147}
{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.128}
{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.4767}
{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.4728}
{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.3367}
{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}
{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.6486}
{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.035, 'neu': 0.927, 'pos': 0.038, 'compound': 0.0258}
{'neg': 0.084, 'neu': 0.723, 'pos': 0.193, 'compound': 0.5564}
{'neg': 0.186, 'neu': 0.657, 'pos': 0.157, 'compound': -0.4678}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.862}
{'neg': 0.131, 'neu': 0.84, 'pos': 0.03, 'compound': -0.5356}
{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.7003}
{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}
{'neg': 0.564, 'neu': 0.436, 'pos': 0.0, 'compound': -0.3802}
{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.7783}
{'neg': 0.209, 'neu': 0.642, 'pos': 0.15, 'compound': -0.2732}
{'neg': 0.22, 'neu': 0.621, 'pos': 0.158, 'compound': -0.2732}
{'neg': 0.295, 'neu': 0.651, 'pos': 0.053, 'compound': -0.9081}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.1779}
{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.7351}
{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.624}
{'neg': 0.234, 'neu': 0.766, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.173, 'neu': 0.641, 'pos': 0.186, 'compound': 0.0516}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.7227}
